sample_id,sample_label,sample_start,sample_end,model_id,model_label,scheduled_entries,elevated_entries,elevated_entry_share,spread_width_points,contract_multiplier,standard_credit_points,additional_distance_fraction,additional_distance_percent,average_additional_distance_points,standard_elevated_failures,defensive_elevated_failures,failures_avoided,failure_reduction,standard_elevated_intrinsic_points,defensive_elevated_intrinsic_points,intrinsic_points_avoided,intrinsic_dollars_avoided,standard_elevated_break_even_credit,defensive_elevated_break_even_credit,maximum_tolerable_credit_haircut_points,theoretical_defensive_credit_to_match_standard,feasible_defensive_credit_to_match_standard,minimum_retained_credit_ratio_to_match_standard,standard_total_pnl_points,standard_total_pnl_dollars,same_credit_defensive_total_pnl_points,same_credit_defensive_total_pnl_dollars,same_credit_pnl_improvement_points,same_credit_pnl_improvement_dollars,match_credit_total_pnl_points,match_credit_total_pnl_dollars,match_credit_pnl_difference_points,standard_maximum_drawdown_points,same_credit_maximum_drawdown_points,same_credit_drawdown_reduction_points,match_credit_maximum_drawdown_points,match_credit_drawdown_reduction_points,standard_worst_4_trade_sum_points,same_credit_worst_4_trade_sum_points,match_credit_worst_4_trade_sum_points
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.015,1.5,145.830197826087,5,3,2,0.4,615.0463000000002,399.74,215.3063000000002,430.6126000000004,4.4568572463768135,2.896666666666667,1.5601905797101463,8.439809420289853,8.439809420289853,0.8439809420289853,6618.695199999995,13237.39039999999,6834.001499999995,13668.00299999999,215.3063000000002,430.6126000000004,6618.695199999995,13237.39039999999,0.0,300.0,300.0,0.0,314.04171521739227,-14.041715217392266,-260.0,-260.0,-264.6805717391304
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.02,2.0,194.44026376811593,5,3,2,0.4,615.0463000000002,386.351249999999,228.69505000000117,457.39010000000235,4.4568572463768135,2.7996467391304276,1.6572105072463854,8.342789492753614,8.342789492753614,0.8342789492753614,6618.695199999995,13237.39039999999,6847.390249999996,13694.780499999992,228.69505000000117,457.39010000000235,6618.695199999994,13237.390399999987,-9.094947017729282e-13,300.0,298.75874999999905,1.2412500000009459,313.6736445652168,-13.673644565216819,-260.0,-260.0,-264.97163152173914
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,10.0,0.03,3.0,291.660395652174,5,3,2,0.4,615.0463000000002,213.44414999999867,401.60215000000153,803.2043000000031,4.4568572463768135,1.5466967391304252,2.910160507246388,7.089839492753612,7.089839492753612,0.7089839492753611,6618.695199999995,13237.39039999999,7020.297349999996,14040.594699999992,401.60215000000153,803.2043000000031,6618.695199999995,13237.39039999999,0.0,300.0,280.0,20.0,282.9101605072465,17.089839492753526,-260.0,-260.0,-268.7304815217392
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.005,0.5,47.891844999999996,4,3,1,0.25,465.0463000000002,424.0350000000001,41.01130000000012,82.02260000000024,4.650463000000002,4.240350000000001,0.41011300000000117,11.589887,11.589887,0.9658239166666666,8228.695199999995,16457.39039999999,8269.706499999995,16539.41299999999,41.01130000000012,82.02260000000024,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,276.4101129999999,-0.41011299999991024,-252.0,-252.0,-253.230339
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.01,1.0,95.78368999999999,4,3,1,0.25,465.0463000000002,338.37254999999936,126.67375000000084,253.34750000000167,4.650463000000002,3.3837254999999935,1.2667375000000083,10.733262499999991,10.733262499999991,0.8944385416666659,8228.695199999995,16457.39039999999,8355.368949999996,16710.737899999993,126.67375000000175,253.3475000000035,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,277.2667375000001,-1.2667375000000902,-252.0,-252.0,-255.80021250000001
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.015,1.5,143.675535,4,2,2,0.5,465.0463000000002,249.74,215.3063000000002,430.6126000000004,4.650463000000002,2.4974000000000003,2.1530630000000017,9.846936999999999,9.846936999999999,0.8205780833333333,8228.695199999995,16457.39039999999,8444.001499999995,16888.00299999999,215.3063000000002,430.6126000000004,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,280.76531499999874,-4.765314999998736,-252.0,-252.0,-258.459189
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.02,2.0,191.56737999999999,4,2,2,0.5,465.0463000000002,237.59249999999997,227.45380000000023,454.90760000000046,4.650463000000002,2.3759249999999996,2.2745380000000024,9.725461999999997,9.725461999999997,0.8104551666666664,8228.695199999995,16457.39039999999,8456.148999999994,16912.297999999988,227.45379999999932,454.90759999999864,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,281.37268999999833,-5.372689999998329,-252.0,-252.0,-258.823614
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,805,100,0.12422360248447205,150.0,2.0,12.0,0.03,3.0,287.35107,4,2,2,0.5,465.0463000000002,213.2974999999999,251.7488000000003,503.4976000000006,4.650463000000002,2.132974999999999,2.517488000000003,9.482511999999996,9.482511999999996,0.790209333333333,8228.695199999995,16457.39039999999,8480.443999999996,16960.88799999999,251.7488000000012,503.4976000000024,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,282.58744000000206,-6.587440000002061,-252.0,-252.0,-259.55246400000004
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.005,0.5,48.61006594202898,5,4,1,0.2,615.0463000000002,574.0350000000001,41.01130000000012,82.02260000000024,4.4568572463768135,4.159673913043479,0.2971833333333342,11.702816666666665,11.702816666666665,0.9752347222222221,8228.695199999995,16457.39039999999,8269.706499999995,16539.41299999999,41.01130000000012,82.02260000000024,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,276.2971833333331,-0.2971833333331233,-252.0,-252.0,-252.89155
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",805,138,0.17142857142857143,150.0,2.0,12.0,0.01,1.0,97.22013188405796,5,4,1,0.2,615.0463000000002,488.37254999999936,126.67375000000084,253.34750000000167,4.4568572463768135,3.538931521739126,0.9179257246376872,11.082074275362313,11.082074275362313,0.923506189613526,8228.695199999995,16457.39039999999,8355.368949999996,16710.737899999993,126.67375000000175,253.3475000000035,8228.695199999995,16457.39039999999,0.0,276.0,276.0,0.0,278.26133152174043,-2.2613315217404306,-252.0,-252.0,-254.75377717391305
