fold_number,fold_label,model_id,model_label,complexity,training_start,training_end,test_start,test_end,train_observations,train_failures,train_normal_observations,train_normal_failures,train_normal_failure_rate,train_elevated_observations,train_elevated_observation_share,train_elevated_failures,train_elevated_failure_rate,train_elevated_rate_lift_vs_normal,train_elevated_failure_capture,train_failure_capture_efficiency,train_odds_ratio,train_fisher_p_value,train_direction_supportive,test_observations,test_failures,test_normal_observations,test_normal_failures,test_normal_failure_rate,test_elevated_observations,test_elevated_observation_share,test_elevated_failures,test_elevated_failure_rate,test_elevated_rate_lift_vs_normal,test_elevated_failure_capture,test_failure_capture_efficiency,test_odds_ratio,test_fisher_p_value,test_direction_supportive,train_normal_probability,train_elevated_probability,train_baseline_probability,test_model_brier_score,test_baseline_brier_score,test_brier_skill_vs_baseline,test_model_log_loss,test_baseline_log_loss,test_log_loss_improvement,test_informative
2,2014-2016,weekly_atr_only,Weekly ATR expansion only,1,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,342,5,0.014619883040935672,109,0.24168514412416853,4,0.03669724770642202,2.510091743119266,0.4444444444444444,1.838939857288481,2.5676190476190475,0.22920235027582272,True,157,0,106,0,0.0,51,0.3248407643312102,0,0.0,,,,,1.0,False,0.016034985422740525,0.04090909090909091,0.02101769911504425,0.0007172359233453286,0.00044174367609053184,-0.6236472917799887,0.024482314414947245,0.021241715384246986,-0.0032405990307002586,False
2,2014-2016,trend_only,Below 40-week SMA only,1,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,340,4,0.011764705882352941,111,0.24611973392461198,5,0.04504504504504504,3.828828828828829,0.5555555555555556,2.2572572572572573,3.9622641509433962,0.04427954313954234,True,157,0,131,0,0.0,26,0.16560509554140126,0,0.0,,,,,1.0,False,0.013196480938416423,0.049107142857142856,0.02101769911504425,0.0005446660494846124,0.00044174367609053184,-0.23299116425378652,0.019423235884204946,0.021241715384246986,0.0018184795000420403,False
2,2014-2016,atr_any,Either ATR expansion flag,2,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,282,3,0.010638297872340425,169,0.37472283813747226,6,0.03550295857988166,3.337278106508876,0.6666666666666666,1.7790927021696252,3.423312883435583,0.08567338412568788,True,157,0,87,0,0.0,70,0.445859872611465,0,0.0,,,,,1.0,False,0.012367491166077738,0.03823529411764706,0.02101769911504425,0.0007365777772105111,0.00044174367609053184,-0.6674325340190164,0.024278101331783705,0.021241715384246986,-0.0030363859475367183,False
2,2014-2016,atr_both,Both ATR expansion flags,2,2005-05-13,2013-12-27,2014-01-03,2016-12-30,451,9,398,6,0.01507537688442211,53,0.11751662971175167,3,0.05660377358490566,3.7547169811320757,0.3333333333333333,2.8364779874213832,3.92,0.07716627603783013,True,157,0,140,0,0.0,17,0.10828025477707007,0,0.0,,,,,1.0,False,0.016290726817042606,0.06481481481481481,0.02101769911504425,0.0006915325666432489,0.00044174367609053184,-0.5654611578446793,0.021902326294562836,0.021241715384246986,-0.0006606109103158495,False
3,2017-2019,full_three_factor_score,Full score: at least 2 of 3 flags,3,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,501,4,0.007984031936127744,107,0.17598684210526316,5,0.04672897196261682,5.852803738317757,0.5555555555555556,3.156801661474559,6.090686274509804,0.010746808112481547,True,156,3,131,2,0.015267175572519083,25,0.16025641025641027,1,0.04,2.62,0.3333333333333333,2.0799999999999996,2.6875,0.41003351487222467,True,0.008964143426294821,0.05092592592592592,0.015599343185550082,0.0188311182138038,0.01887413400068402,0.002279086652593576,0.09501576605655392,0.09543006585504113,0.00041429979848721377,True
3,2017-2019,any_one_flag,Any one of the three flags,3,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,295,2,0.006779661016949152,313,0.5148026315789473,7,0.022364217252396165,3.2987220447284344,0.7777777777777778,1.5108271210507633,3.3513071895424837,0.17817224601554554,True,156,3,85,2,0.023529411764705882,71,0.4551282051282051,1,0.014084507042253521,0.5985915492957746,0.3333333333333333,0.7323943661971831,0.5928571428571429,1.0,False,0.008445945945945946,0.02388535031847134,0.015599343185550082,0.019006507134461496,0.01887413400068402,-0.007013467943624896,0.10050566793041907,0.09543006585504113,-0.0050756020753779385,True
3,2017-2019,rolling_atr_only,Rolling four-week ATR expansion only,1,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,459,4,0.008714596949891068,149,0.2450657894736842,5,0.03355704697986577,3.850671140939597,0.5555555555555556,2.2669649515287102,3.9496527777777777,0.04394390222729472,True,156,3,113,2,0.017699115044247787,43,0.27564102564102566,1,0.023255813953488372,1.313953488372093,0.3333333333333333,1.2093023255813953,1.3214285714285714,1.0,True,0.009782608695652175,0.03666666666666667,0.015599343185550082,0.018949752428923033,0.01887413400068402,-0.004006458163128057,0.09756630898100656,0.09543006585504113,-0.0021362431259654285,True
3,2017-2019,weekly_atr_only,Weekly ATR expansion only,1,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,448,5,0.011160714285714286,160,0.2631578947368421,4,0.025,2.24,0.4444444444444444,1.6888888888888889,2.2717948717948717,0.2523460855878791,True,156,3,113,2,0.017699115044247787,43,0.27564102564102566,1,0.023255813953488372,1.313953488372093,0.3333333333333333,1.2093023255813953,1.3214285714285714,1.0,True,0.012249443207126948,0.027950310559006212,0.015599343185550082,0.01888236910962995,0.01887413400068402,-0.0004363171812615807,0.09577302573445763,0.09543006585504113,-0.00034295987941650175,True
3,2017-2019,trend_only,Below 40-week SMA only,1,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,471,4,0.008492569002123142,137,0.22532894736842105,5,0.0364963503649635,4.297445255474452,0.5555555555555556,2.4655312246553125,4.422348484848484,0.031096843075533797,True,156,3,139,3,0.02158273381294964,17,0.10897435897435898,0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.009533898305084746,0.03985507246376811,0.015599343185550082,0.019118168595743612,0.01887413400068402,-0.01292957838758313,0.10226245547679667,0.09543006585504113,-0.006832389621755544,True
3,2017-2019,atr_any,Either ATR expansion flag,2,2005-05-13,2016-12-30,2017-01-06,2019-12-27,608,9,369,3,0.008130081300813009,239,0.3930921052631579,6,0.02510460251046025,3.0878661087866104,0.6666666666666666,1.6959553695955367,3.1416309012875536,0.16500286759528413,True,156,3,92,2,0.021739130434782608,64,0.41025641025641024,1,0.015625,0.71875,0.3333333333333333,0.8125,0.7142857142857143,1.0,False,0.00945945945945946,0.027083333333333334,0.015599343185550082,0.01899469375820727,0.01887413400068402,-0.0063875649880880125,0.09945834436825922,0.09543006585504113,-0.004028278513218089,True
