robustness_rank,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,odds_ratio,fisher_p_value,2005_2012_elevated_observations,2005_2012_elevated_failures,2005_2012_elevated_failure_rate,2005_2012_normal_failure_rate,2005_2012_lift,2013_2019_elevated_observations,2013_2019_elevated_failures,2013_2019_elevated_failure_rate,2013_2019_normal_failure_rate,2013_2019_lift,2020_2026_elevated_observations,2020_2026_elevated_failures,2020_2026_elevated_failure_rate,2020_2026_normal_failure_rate,2020_2026_lift,rolling4w_atr_threshold,weekly_atr_threshold,sma_length_weeks,elevated_score_cutoff,higher_risk_subperiods,minimum_subperiod_lift,median_subperiod_lift,cluster_tests_higher,cluster_test_count,minimum_cluster_removal_lift,median_cluster_removal_lift,is_anchor_definition,classification
120,896,11,0.012276785714285714,204,0.18545454545454546,9,0.04411764705882353,3.593582887700535,0.45,3.7132867132867133,0.005547212365594877,80,5,0.0625,0.012539184952978056,4.984375,56,1,0.017857142857142856,0.006472491909385114,2.758928571428571,68,3,0.04411764705882353,0.018656716417910446,2.3647058823529417,1.2,1.15,40,2,3,2.3647058823529417,2.758928571428571,13,13,2.0686456400742115,3.9132352941176474,False,Robust
121,895,11,0.012290502793296089,205,0.18636363636363637,9,0.04390243902439024,3.5720620842572064,0.45,3.6901669758812616,0.0057408565451292125,80,5,0.0625,0.012539184952978056,4.984375,57,1,0.017543859649122806,0.006493506493506494,2.701754385964912,68,3,0.04411764705882353,0.018656716417910446,2.3647058823529417,1.2,1.15,45,2,3,2.3647058823529417,2.701754385964912,13,13,2.0686456400742115,3.889756097560975,False,Robust
122,894,11,0.012304250559284116,206,0.18727272727272729,9,0.043689320388349516,3.5507502206531334,0.45,3.667281956622058,0.005939887814251029,83,5,0.060240963855421686,0.012658227848101266,4.759036144578313,55,1,0.01818181818181818,0.0064516129032258064,2.818181818181818,68,3,0.04411764705882353,0.018656716417910446,2.3647058823529417,1.2,1.2,35,2,3,2.3647058823529417,2.818181818181818,13,13,2.0431588613406797,3.866504854368932,False,Robust
110,903,11,0.012181616832779624,197,0.17909090909090908,9,0.04568527918781726,3.7503461005999075,0.45,3.882011605415861,0.004333794464298302,78,5,0.0641025641025641,0.012461059190031152,5.144230769230769,54,1,0.018518518518518517,0.006430868167202572,2.8796296296296293,65,3,0.046153846153846156,0.01845018450184502,2.5015384615384617,1.2,1.2,40,2,3,2.5015384615384617,2.8796296296296293,13,13,2.162097162097162,4.084263959390863,True,Robust
113,901,11,0.01220865704772475,199,0.1809090909090909,9,0.04522613065326633,3.704431247144815,0.45,3.8325358851674642,0.004656134821412815,79,5,0.06329113924050633,0.0125,5.063291139240507,55,1,0.01818181818181818,0.0064516129032258064,2.818181818181818,65,3,0.046153846153846156,0.01845018450184502,2.5015384615384617,1.2,1.2,45,2,3,2.5015384615384617,2.818181818181818,13,13,2.148325358851675,4.034170854271357,False,Robust
114,900,11,0.012222222222222223,200,0.18181818181818182,9,0.045,3.6818181818181817,0.45,3.8081865778200856,0.004824408202713577,80,5,0.0625,0.012539184952978056,4.984375,53,1,0.018867924528301886,0.00641025641025641,2.943396226415094,67,3,0.04477611940298507,0.01858736059479554,2.408955223880597,1.2,1.25,35,2,3,2.408955223880597,2.943396226415094,13,13,2.1212121212121215,4.0095,False,Robust
96,909,11,0.0121012101210121,191,0.17363636363636364,9,0.04712041884816754,3.893860066634936,0.45,4.036963036963037,0.0034734109761438816,75,5,0.06666666666666667,0.012345679012345678,5.4,52,1,0.019230769230769232,0.006389776357827476,3.009615384615385,64,3,0.046875,0.01838235294117647,2.55,1.2,1.25,40,2,3,2.55,3.009615384615385,13,13,2.2478887232985594,4.2408376963350785,False,Robust
102,907,11,0.012127894156560088,193,0.17545454545454545,9,0.046632124352331605,3.8450306170513424,0.45,3.984189723320158,0.003743196201068004,76,5,0.06578947368421052,0.01238390092879257,5.312499999999999,53,1,0.018867924528301886,0.00641025641025641,2.943396226415094,64,3,0.046875,0.01838235294117647,2.55,1.2,1.25,45,2,3,2.55,2.943396226415094,13,13,2.233201581027668,4.187564766839378,False,Robust
115,900,11,0.012222222222222223,200,0.18181818181818182,9,0.045,3.6818181818181817,0.45,3.8081865778200856,0.004824408202713577,80,5,0.0625,0.012539184952978056,4.984375,51,1,0.0196078431372549,0.006369426751592357,3.0784313725490193,69,3,0.043478260869565216,0.018726591760299626,2.3217391304347825,1.25,1.15,35,2,3,2.3217391304347825,3.0784313725490193,13,13,2.1212121212121215,4.0095,False,Robust
98,909,11,0.0121012101210121,191,0.17363636363636364,9,0.04712041884816754,3.893860066634936,0.45,4.036963036963037,0.0034734109761438816,75,5,0.06666666666666667,0.012345679012345678,5.4,50,1,0.02,0.006349206349206349,3.15,66,3,0.045454545454545456,0.018518518518518517,2.4545454545454546,1.25,1.15,40,2,3,2.4545454545454546,3.15,13,13,2.2478887232985594,4.2408376963350785,False,Robust
100,908,11,0.012114537444933921,192,0.17454545454545456,9,0.046875,3.8693181818181817,0.45,4.01043219076006,0.003606255327679188,75,5,0.06666666666666667,0.012345679012345678,5.4,51,1,0.0196078431372549,0.006369426751592357,3.0784313725490193,66,3,0.045454545454545456,0.018518518518518517,2.4545454545454546,1.25,1.15,45,2,3,2.4545454545454546,3.0784313725490193,13,13,2.2478887232985594,4.2140625,False,Robust
104,906,11,0.012141280353200883,194,0.17636363636363636,9,0.04639175257731959,3.820993439550141,0.45,3.958230958230958,0.003884326218967115,78,5,0.0641025641025641,0.012461059190031152,5.144230769230769,50,1,0.02,0.006349206349206349,3.15,66,3,0.045454545454545456,0.018518518518518517,2.4545454545454546,1.25,1.2,35,2,3,2.4545454545454546,3.15,13,13,2.204301075268817,4.161340206185567,False,Robust
81,915,11,0.012021857923497269,185,0.16818181818181818,9,0.04864864864864865,4.046683046683047,0.45,4.202479338842975,0.0027573307782110573,73,5,0.0684931506849315,0.012269938650306749,5.582191780821917,49,1,0.02040816326530612,0.006329113924050633,3.224489795918367,63,3,0.047619047619047616,0.018315018315018316,2.5999999999999996,1.25,1.2,40,2,3,2.5999999999999996,3.224489795918367,13,13,2.3394966615305597,4.407567567567567,False,Robust
85,913,11,0.012048192771084338,187,0.17,9,0.0481283422459893,3.994652406417112,0.45,4.146067415730337,0.002981186751904468,74,5,0.06756756756756757,0.012307692307692308,5.489864864864865,50,1,0.02,0.006349206349206349,3.15,63,3,0.047619047619047616,0.018315018315018316,2.5999999999999996,1.25,1.2,45,2,3,2.5999999999999996,3.15,13,13,2.323799795709908,4.350802139037433,False,Robust
91,911,11,0.012074643249176729,189,0.17181818181818181,9,0.047619047619047616,3.9437229437229435,0.45,4.090909090909091,0.00321964710832106,76,5,0.06578947368421052,0.01238390092879257,5.312499999999999,48,1,0.020833333333333332,0.006309148264984227,3.302083333333333,65,3,0.046153846153846156,0.01845018450184502,2.5015384615384617,1.25,1.25,35,2,3,2.5015384615384617,3.302083333333333,13,13,2.2777498744349574,4.295238095238095,False,Robust
64,920,11,0.011956521739130435,180,0.16363636363636364,9,0.05,4.181818181818182,0.45,4.349282296650718,0.002257167716043967,71,5,0.07042253521126761,0.012195121951219513,5.774647887323944,47,1,0.02127659574468085,0.006289308176100629,3.382978723404255,62,3,0.04838709677419355,0.01824817518248175,2.6516129032258067,1.25,1.25,40,2,3,2.6516129032258067,3.382978723404255,13,13,2.4207188160676534,4.555,False,Robust
69,918,11,0.011982570806100218,182,0.16545454545454547,9,0.04945054945054945,4.126873126873127,0.45,4.289542827115081,0.002447447191793929,72,5,0.06944444444444445,0.012232415902140673,5.677083333333334,48,1,0.020833333333333332,0.006309148264984227,3.302083333333333,62,3,0.04838709677419355,0.01824817518248175,2.6516129032258067,1.25,1.25,45,2,3,2.6516129032258067,3.302083333333333,13,13,2.404098791382028,4.495054945054944,False,Robust
