robustness_rank,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,odds_ratio,fisher_p_value,2005_2012_elevated_observations,2005_2012_elevated_failures,2005_2012_elevated_failure_rate,2005_2012_normal_failure_rate,2005_2012_lift,2013_2019_elevated_observations,2013_2019_elevated_failures,2013_2019_elevated_failure_rate,2013_2019_normal_failure_rate,2013_2019_lift,2020_2026_elevated_observations,2020_2026_elevated_failures,2020_2026_elevated_failure_rate,2020_2026_normal_failure_rate,2020_2026_lift,rolling4w_atr_threshold,weekly_atr_threshold,sma_length_weeks,elevated_score_cutoff,higher_risk_subperiods,minimum_subperiod_lift,median_subperiod_lift,cluster_tests_higher,cluster_test_count,minimum_cluster_removal_lift,median_cluster_removal_lift,is_anchor_definition,classification
139,515,5,0.009708737864077669,585,0.5318181818181819,15,0.02564102564102564,2.641025641025641,0.75,2.6842105263157894,0.06833444878466849,218,8,0.03669724770642202,0.0055248618784530384,6.642201834862386,180,1,0.005555555555555556,0.010810810810810811,0.5138888888888888,187,6,0.03208556149732621,0.013422818791946308,2.3903743315508024,1.2,1.15,50,1,2,0.5138888888888888,2.3903743315508024,13,13,1.9700348432055748,2.5034722222222223,False,Supportive
140,515,5,0.009708737864077669,585,0.5318181818181819,15,0.02564102564102564,2.641025641025641,0.75,2.6842105263157894,0.06833444878466849,219,8,0.0365296803652968,0.005555555555555556,6.575342465753424,184,1,0.005434782608695652,0.011049723756906077,0.49184782608695654,182,6,0.03296703296703297,0.012987012987012988,2.5384615384615383,1.3,1.1,30,1,2,0.49184782608695654,2.5384615384615383,13,13,1.9555555555555557,2.5034722222222223,False,Supportive
141,513,5,0.009746588693957114,587,0.5336363636363637,15,0.02555366269165247,2.6218057921635434,0.75,2.664335664335664,0.0685885267671201,218,8,0.03669724770642202,0.0055248618784530384,6.642201834862386,185,1,0.005405405405405406,0.011111111111111112,0.4864864864864865,184,6,0.03260869565217391,0.013157894736842105,2.4782608695652173,1.3,1.1,35,1,2,0.4864864864864865,2.4782608695652173,13,13,1.9411764705882353,2.485121107266436,False,Supportive
142,511,5,0.009784735812133072,589,0.5354545454545454,15,0.025466893039049237,2.602716468590832,0.75,2.6445993031358883,0.06891631640202961,220,8,0.03636363636363636,0.00558659217877095,6.509090909090909,182,1,0.005494505494505495,0.01092896174863388,0.5027472527472527,187,6,0.03208556149732621,0.013422818791946308,2.3903743315508024,1.2,1.15,45,1,2,0.5027472527472527,2.3903743315508024,13,13,1.9340241796200346,2.466896551724138,False,Supportive
143,507,5,0.009861932938856016,593,0.5390909090909091,15,0.025295109612141653,2.5649241146711637,0.75,2.605536332179931,0.06979331816144058,222,8,0.036036036036036036,0.005649717514124294,6.378378378378378,186,1,0.005376344086021506,0.0111731843575419,0.48118279569892475,185,6,0.032432432432432434,0.013245033112582781,2.448648648648649,1.3,1.1,50,1,2,0.48118279569892475,2.448648648648649,13,13,1.9127147766323023,2.430821917808219,False,Supportive
144,507,5,0.009861932938856016,593,0.5390909090909091,15,0.025295109612141653,2.5649241146711637,0.75,2.605536332179931,0.06979331816144058,222,8,0.036036036036036036,0.005649717514124294,6.378378378378378,187,1,0.0053475935828877,0.011235955056179775,0.4759358288770053,184,6,0.03260869565217391,0.013157894736842105,2.4782608695652173,1.3,1.1,40,1,2,0.4759358288770053,2.4782608695652173,13,13,1.9056603773584904,2.430821917808219,False,Supportive
145,506,5,0.009881422924901186,594,0.54,15,0.025252525252525252,2.5555555555555554,0.75,2.5958549222797926,0.07005875885185862,220,8,0.03636363636363636,0.00558659217877095,6.509090909090909,188,1,0.005319148936170213,0.011299435028248588,0.4707446808510638,186,6,0.03225806451612903,0.013333333333333334,2.419354838709677,1.25,1.1,30,1,2,0.4707446808510638,2.419354838709677,13,13,1.8916239316239314,2.421880341880342,False,Supportive
146,504,5,0.00992063492063492,596,0.5418181818181819,15,0.025167785234899327,2.5369127516778525,0.75,2.576592082616179,0.0706451508517415,219,8,0.0365296803652968,0.005555555555555556,6.575342465753424,189,1,0.005291005291005291,0.011363636363636364,0.4656084656084656,188,6,0.031914893617021274,0.013513513513513514,2.361702127659574,1.25,1.1,35,1,2,0.4656084656084656,2.361702127659574,13,13,1.8776831345826235,2.4040885860306647,False,Supportive
147,502,5,0.0099601593625498,598,0.5436363636363636,15,0.02508361204013378,2.5183946488294318,0.75,2.5574614065180103,0.07130564442078874,225,8,0.035555555555555556,0.005747126436781609,6.1866666666666665,188,1,0.005319148936170213,0.011299435028248588,0.4707446808510638,185,6,0.032432432432432434,0.013245033112582781,2.448648648648649,1.3,1.1,45,1,2,0.4707446808510638,2.448648648648649,13,13,1.8707482993197277,2.38641765704584,False,Supportive
148,498,5,0.010040160642570281,602,0.5472727272727272,15,0.024916943521594685,2.4817275747508307,0.75,2.5195911413969334,0.07284939790511363,224,8,0.03571428571428571,0.005714285714285714,6.25,189,1,0.005291005291005291,0.011363636363636364,0.4656084656084656,189,6,0.031746031746031744,0.013605442176870748,2.3333333333333335,1.25,1.1,50,1,2,0.4656084656084656,2.3333333333333335,13,13,1.8500846023688662,2.3514333895446877,False,Supportive
149,497,5,0.01006036217303823,603,0.5481818181818182,15,0.024875621890547265,2.472636815920398,0.75,2.510204081632653,0.0732818375566209,224,8,0.03571428571428571,0.005714285714285714,6.25,191,1,0.005235602094240838,0.011494252873563218,0.4554973821989529,188,6,0.031914893617021274,0.013513513513513514,2.361702127659574,1.25,1.1,40,1,2,0.4554973821989529,2.361702127659574,13,13,1.836424957841484,2.342760942760943,False,Supportive
